transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
1,84.47,22,Electronics,0,0,66,3,40,0
2,541.82,3,Travel,1,0,87,1,64,0
3,237.01,17,Grocery,0,0,49,1,61,0
4,164.33,4,Grocery,0,1,72,3,34,0
5,30.53,15,Food,0,0,79,0,44,0
6,30.53,13,Clothing,0,0,90,2,46,0
7,10.77,18,Travel,0,0,48,1,28,0
8,362.02,13,Electronics,0,0,68,1,40,0
9,165.43,8,Grocery,0,0,80,0,21,0
10,221.63,5,Grocery,0,0,59,1,34,0
11,3.74,16,Grocery,0,0,58,2,28,0
12,630.64,18,Clothing,0,0,30,4,25,0
13,321.56,11,Clothing,0,0,73,4,68,0
14,42.96,3,Travel,0,0,40,2,43,0
15,36.12,15,Electronics,0,0,37,2,69,0
16,36.47,10,Clothing,0,0,36,2,66,0
17,65.3,21,Food,0,0,35,1,25,0
18,133.91,3,Clothing,0,0,71,2,25,0
19,101.8,16,Grocery,1,0,84,3,24,0
20,61.96,7,Electronics,0,0,73,2,68,0
21,170.35,13,Travel,0,0,76,4,51,0
22,27.04,1,Clothing,0,0,85,1,49,0
23,62.19,10,Grocery,0,0,64,2,30,0
24,82.13,10,Food,0,0,95,2,53,0
25,109.61,23,Food,0,0,99,2,35,0
26,276.83,21,Travel,1,0,77,3,30,0
27,40.09,23,Travel,0,0,85,1,47,0
28,129.97,5,Clothing,0,0,46,1,18,0
29,161.55,20,Travel,0,0,62,3,52,0
30,8.56,20,Grocery,0,0,85,1,20,0
31,168.36,13,Grocery,0,0,71,2,47,0
32,33.65,9,Grocery,0,0,51,2,65,0
33,12.11,7,Clothing,0,0,42,3,42,0
34,535.26,6,Clothing,0,0,44,7,50,0
35,606.71,7,Travel,0,0,66,5,33,0
36,297.42,7,Clothing,0,0,65,2,66,0
37,65.39,22,Grocery,0,0,96,1,20,0
38,18.5,1,Electronics,0,0,82,2,64,0
39,207.5,15,Grocery,0,0,64,1,46,0
40,104.42,8,Electronics,0,0,99,1,31,0
41,23.43,12,Travel,0,0,54,1,60,0
42,123.04,22,Food,0,1,36,3,62,0
43,6.3,11,Clothing,0,0,86,3,22,0
44,432.08,21,Clothing,0,1,86,0,61,0
45,53.9,16,Grocery,0,0,94,2,34,0
46,195.53,1,Grocery,0,0,39,3,46,0
47,67.24,12,Electronics,0,0,31,3,38,0
48,132.14,0,Clothing,0,0,30,2,23,0
49,142.42,18,Travel,0,1,51,2,41,0
50,36.79,10,Grocery,0,0,26,1,66,0
51,628.71,4,Clothing,0,0,30,4,45,0
52,268.6,0,Food,0,0,85,1,34,0
53,504.92,19,Electronics,0,0,56,1,59,0
54,405.39,12,Grocery,0,0,53,0,39,0
55,163.99,7,Grocery,0,0,89,2,41,0
56,458.9,5,Travel,0,0,39,1,57,0
57,16.68,16,Grocery,0,0,34,1,35,0
58,39.26,11,Clothing,1,1,34,3,45,1
59,8.33,0,Clothing,0,0,34,2,27,0
60,70.84,2,Clothing,0,0,61,4,18,0
61,88.58,13,Food,0,0,56,0,54,0
62,56.98,7,Food,1,0,60,2,43,0
63,317.62,10,Grocery,0,0,88,1,67,0
64,79.42,13,Food,0,0,39,3,43,0
65,59.36,7,Food,0,0,97,1,50,0
66,140.83,2,Travel,0,0,40,2,26,0
67,27.34,6,Food,0,0,70,2,35,0
68,291.69,18,Electronics,1,1,68,1,22,0
69,13.95,3,Electronics,0,0,59,1,39,0
70,780.15,15,Electronics,0,0,75,3,27,0
71,266.31,12,Grocery,0,0,82,2,31,0
72,39.88,19,Clothing,0,0,29,1,29,0
73,1.0,18,Travel,0,1,62,2,49,0
74,304.18,4,Grocery,0,0,30,1,56,0
75,220.88,22,Clothing,0,1,75,1,62,0
76,235.02,4,Travel,0,1,38,2,53,0
77,265.54,19,Travel,0,0,72,0,68,0
78,13.85,23,Travel,0,0,36,4,67,0
79,79.9,3,Electronics,0,0,76,4,64,0
80,22.17,1,Electronics,0,0,92,1,32,0
81,357.94,12,Electronics,0,0,83,3,50,0
82,175.73,15,Travel,0,1,42,0,33,0
83,72.33,21,Travel,1,0,77,1,21,0
84,11.82,1,Electronics,0,0,55,1,68,0
85,67.05,18,Travel,0,0,59,3,20,0
86,70.8,16,Electronics,0,0,28,2,43,0
87,235.42,4,Electronics,0,0,33,0,54,0
88,182.68,17,Electronics,1,0,39,0,51,0
89,392.81,22,Clothing,0,0,66,4,59,0
90,115.03,20,Travel,0,0,83,1,26,0
91,22.93,17,Grocery,0,0,97,1,61,0
92,224.84,7,Electronics,0,0,56,0,31,0
93,257.47,14,Grocery,0,0,69,2,64,0
94,148.3,12,Clothing,0,0,29,1,50,0
95,265.3,12,Travel,0,1,55,4,65,0
96,122.55,15,Electronics,0,0,49,1,55,0
97,133.14,21,Electronics,0,0,80,2,22,0
98,100.41,19,Electronics,0,0,25,2,68,0
99,4.63,12,Grocery,0,0,85,0,64,0
